Id,Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Seed per Pound
16310,,,,,,,,,,,,,,,,,,,,
16316,Early Summer,Routinely Available,Low,Summer,Summer,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Slow,Low,No,Slow,110000
32298,Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Moderate,Medium,No,Moderate,4048000
88802,,,,,,,,,,,,,,,,,,,,
71268,,,,,,,,,,,,,,,,,,,,
43539,Fall,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,153761
43580,,,,,,,,,,,,,,,,,,,,
43599,,,,,,,,,,,,,,,,,,,,
43605,Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70000
43619,,,,,,,,,,,,,,,,,,,,
43621,,,,,,,,,,,,,,,,,,,,
68486,,,,,,,,,,,,,,,,,,,,
77136,Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,270500
78033,,,,,,,,,,,,,,,,,,,,
78085,Mid Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,300000
32620,Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,130000
32652,Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,43324
32705,Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,195300
12726,,,,,,,,,,,,,,,,,,,,
72708,Mid Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,554000
78361,Early Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,65000
50704,,,,,,,,,,,,,,,,,,,,
33399,,,,,,,,,,,,,,,,,,,,
33436,,,,,,,,,,,,,,,,,,,,
72807,,,,,,,,,,,,,,,,,,,,
78506,,,,,,,,,,,,,,,,,,,,
16911,,,,,,,,,,,,,,,,,,,,
33849,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,1500000
28406,,,,,,,,,,,,,,,,,,,,
33940,Late Summer,Routinely Available,High,Fall,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,221000
33987,,,,,,,,,,,,,,,,,,,,
33992,,,,,,,,,,,,,,,,,,,,
45660,,,,,,,,,,,,,,,,,,,,
84380,Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,Rapid,
73087,,,,,,,,,,,,,,,,,,,,
79106,Late Summer,No Known Source,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,200000
71832,,,,,,,,,,,,,,,,,,,,
71836,,,,,,,,,,,,,,,,,,,,
34298,,,,,,,,,,,,,,,,,,,,
34475,Early Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,115664
34506,Mid Summer,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Slow,800000
15884,Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,High,No,Rapid,
85932,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,3000000
12212,Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Slow,Medium,No,Moderate,
12228,,,,,,,,,,,,,,,,,,,,
35138,Mid Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,3000000
35163,,,,,,,,,,,,,,,,,,,,
60308,,,,,,,,,,,,,,,,,,,,
74019,,,,,,,,,,,,,,,,,,,,
28499,,,,,,,,,,,,,,,,,,,,
35396,,,,,,,,,,,,,,,,,,,,
35415,,,,,,,,,,,,,,,,,,,,
35438,,,,,,,,,,,,,,,,,,,,
76059,,,,,,,,,,,,,,,,,,,,
35469,,,,,,,,,,,,,,,,,,,,
