Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Id,Seed per Pound
,,,,,,,,,,,,,,,,,,,13562,
,,,,,,,,,,,,,,,,,,,13568,
Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,13578,
,,,,,,,,,,,,,,,,,,,13597,
,,,,,,,,,,,,,,,,,,,13605,
Late Summer,Routinely Available,Low,Fall,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Rapid,Medium,No,Slow,18864,855835
Early Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,34475,115664
Mid Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Rapid,18868,900000
Mid Summer,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Slow,34506,800000
Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,22394,114000
Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,High,No,Rapid,15884,
,,,,,,,,,,,,,,,,,,,22465,
Summer,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,19007,2834953
Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,,19059,
Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,22557,125000
Early Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,22656,73000
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,85932,3000000
Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Slow,Medium,No,Moderate,12212,
,,,,,,,,,,,,,,,,,,,12228,
,,,,,,,,,,,,,,,,,,,60308,
,,,,,,,,,,,,,,,,,,,28499,
,,,,,,,,,,,,,,,,,,,22734,
Mid Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,35138,3000000
,,,,,,,,,,,,,,,,,,,35163,
Spring,Contracting Only,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,Moderate,22864,1059100
,,,,,,,,,,,,,,,,,,,74019,
Late Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,,75018,35100
Late Spring,,Medium,Fall,Fall,No,No,No,No,No,Yes,No,No,No,No,Slow,Low,No,,75020,11500
,,,,,,,,,,,,,,,,,,,35577,
,,,,,,,,,,,,,,,,,,,76059,
,,,,,,,,,,,,,,,,,,,35469,
Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,No,No,Yes,No,Slow,Low,No,Slow,35639,2000000
,,,,,,,,,,,,,,,,,,,35594,
,,,,,,,,,,,,,,,,,,,35396,
Late Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Medium,No,Moderate,35511,800000
,,,,,,,,,,,,,,,,,,,35415,
,,,,,,,,,,,,,,,,,,,35659,
,,,,,,,,,,,,,,,,,,,35438,
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70143,1600
Mid Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,Yes,No,No,Slow,Medium,No,Slow,23137,454087
Late Spring,Contracting Only,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,23194,400000
Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,49739,10000
Late Spring,,,Summer,Fall,No,No,No,No,No,Yes,No,No,No,No,Rapid,,No,,87257,
Early Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,49771,9730
Late Spring,Routinely Available,High,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,49774,17260
,,,,,,,,,,,,,,,,,,,89751,
Late Spring,No Known Source,Medium,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,Slow,65162,354000
Spring,No Known Source,Low,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Moderate,65159,3855000
Late Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Low,No,None,44077,2982354
,,,,,,,,,,,,,,,,,,,83748,
,,,,,,,,,,,,,,,,,,,89856,
Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,None,23267,
Early Summer,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,Slow,23276,
Late Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,79383,2800
Fall,Routinely Available,Low,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70550,11000
,,,,,,,,,,,,,,,,,,,91943,
Late Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,36186,504000
Fall,Routinely Available,Medium,Fall,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,36117,1464516
,,,,,,,,,,,,,,,,,,,36212,
,,,,,,,,,,,,,,,,,,,36227,
Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,36143,2000000
Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Moderate,36245,630000
,,,,,,,,,,,,,,,,,,,36349,
Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,High,No,Moderate,36265,196360
Early Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,Medium,No,Moderate,74048,47569
,,,,,,,,,,,,,,,,,,,73126,
,,,,,,,,,,,,,,,,,,,73127,
,,,,,,,,,,,,,,,,,,,73132,
