sciname,keyid,commonname,token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,ghspreadrapidly,ghdeerresistant,ghgroundhogresistant,bloomsjan,bloomsfeb,bloomsmar,bloomsapr,bloomsmay,bloomsjun,bloomsjul,bloomsaug,bloomssep,bloomsoct,bloomsnov,bloomsdec,pcheightlow,pcheighthigh,pcspreadlow,pcspreadhigh,pcgroundcover,albemarle_county,charlottesville_city,buckingham_county,culpeper_county,fluvanna_county,greene_county,louisa_county,madison_county,nelson_county,orange_county,virginia,united_states,disputed,fauquier_county,rappahannock_county,usda_id,group,durations_perennial,durations_annual,durations_biennial,growthhabits_forb_herb,growthhabits_graminoid,growthhabits_shrub,growthhabits_tree,growthhabits_subshrub,growthhabits_vine,berry_nut_seed_product,christmas_tree_product,fodder_product,lumber_product,naval_store_product,nursery_stock_product,palatable_graze_animal,palatable_human,post_product,pulpwood_product,veneer_product,palatable_browse_animal,protein_potential,fuelwood_product,after_harvest_regrowth_rate,bloat,coppice_potential,fall_conspicuous,fire_resistant,flower_color,flower_conspicuous,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_color,fruit_seed_conspicuous,growth_form,growth_rate,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,nitrogen_fixation,resprout_ability,shape_and_orientation,toxicity,cn_ratio,height_at_20_years_maximum_feet,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,anaerobic_tolerance,caco3_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_maximum,ph_minimum,planting_density_per_acre_maximum,planting_density_per_acre_minimum,precipitation_maximum,precipitation_minimum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruit_seed_abundance,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,seed_per_pound,active_growth_spring,active_growth_summer,active_growth_fall,active_growth_winter
Philadelphus inodorus,1437,scentless mock orange,PHIN5,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,12.0,5.0,10,False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,88445,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Physocarpus opulifolius,1448,"common,easter,Atlantic ninebark",PHOP,True,True,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,5.0,8.0,4.0,6,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,90185,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,False,Low,,,,None,False,True,False,Purple,False,Green,Dense,Moderate,Medium,Orange,True,Multiple Stem,Slow,10.0,False,False,Moderate,False,None,True,Erect,None,High,10,True,True,True,None,Low,True,High,Low,Medium,100,Low,Low,6.5,4.5,1200,700,60,35,14,None,Intolerant,-33,Late Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,True,True,False,False,False,Slow,Low,False,None,1045000,True,True,False,False
Pieris floribunda,1450,"mountain fetterbush,mountain Andromeda",PIFL,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,6.0,3.0,4,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,65308,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Rhododendron catawbiense,1501,"catawba rhododendron,mountain rosebay,pink laurel",RHCA8,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,6.0,20.0,5.0,15,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,65346,Dicot,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Rhododendron maximum,1502,"great rhododendron,rose bay,white laurel",RHMA4,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,20.0,5.0,12,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,65369,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,,False,False,False,False,,,,,None,False,True,True,Red,True,Dark Green,Dense,Dense,Coarse,Brown,False,Multiple Stem,Slow,25.0,True,True,Long,False,None,True,Semi-Erect,Moderate,High,15,True,False,True,Low,None,False,High,Low,Medium,150,Medium,Medium,5.5,4.0,680,170,60,36,18,None,Tolerant,-13,Mid Spring,Routinely Available,Low,Spring,Summer,False,True,False,True,False,True,True,False,False,False,Slow,Low,False,None,5000000,True,True,False,False
Rhododendron periclymenoides,1503,pinxter flower,RHPE4,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3.0,10.0,6.0,12,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,65380,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,,,,None,False,False,False,Purple,True,Green,Moderate,Moderate,Medium,Brown,False,Multiple Stem,Moderate,10.0,False,False,Moderate,False,None,True,Erect,None,High,4,True,False,True,Medium,None,True,Medium,Medium,High,190,Medium,Low,5.5,4.3,1700,1200,50,36,8,None,Tolerant,-18,Mid Spring,Contracting Only,Low,Spring,Summer,False,True,False,True,False,True,True,False,False,False,Slow,Low,False,None,,True,True,False,False
Rhododendron prinophyllum,1504,"roseshell azalea,early azalea",RHPR,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,2.0,8.0,2.0,8,False,True,True,False,False,False,True,False,True,True,False,True,True,False,False,False,65385,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Rhododendron viscosum,1505,swamp azalea,RHVI2,False,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,4.0,10.0,12.0,12,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,65397,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,Low,,,,None,False,False,False,Red,True,Green,Moderate,Porous,Medium,,False,Multiple Stem,Slow,16.0,False,False,Moderate,False,None,False,Erect,None,,13,True,True,True,Medium,Low,False,Medium,Low,Low,160,None,High,7.0,4.0,2700,700,55,35,14,None,Tolerant,-18,Indeterminate,Routinely Available,Medium,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Slow,Medium,False,None,,True,False,False,False
Rhus aromatica,1506,"fragrant sumac,aromatic sumac,lemon sumac,polecat bush",RHAR4,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,5.0,6.0,6.0,10,False,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,92934,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Rhus copallinum,1507,"winged sumac,flameleaf sumac",RHCO,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,7.0,25.0,10.0,15,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,92952,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,,None,False,True,False,Yellow,False,Green,Dense,Porous,Coarse,Brown,True,Rhizomatous,Moderate,8.0,False,False,Moderate,False,None,True,Erect,None,High,8,True,True,True,Medium,Low,False,Medium,Low,High,140,Low,Low,7.5,5.3,2700,700,60,28,14,None,Intolerant,-28,Mid Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Slow,High,False,Rapid,57000,True,True,False,False
Rhus glabra,1508,smooth sumac,RHGL,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,9.0,15.0,9.0,15,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,92963,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,,None,True,True,False,Yellow,False,Green,Dense,Porous,Coarse,Brown,True,Rhizomatous,Moderate,12.0,False,False,Short,False,None,True,Erect,None,High,12,True,False,True,Low,Low,False,Medium,Low,High,135,Low,Low,7.5,5.3,1200,300,60,30,24,Medium,Intolerant,-33,Mid Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Slow,High,False,Moderate,59775,True,True,False,False
Ribes rotundifolium,1509,Appalachian gooseberry,RIRO2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3.0,5.0,3.0,5,False,True,True,False,False,False,True,False,True,True,False,True,True,False,True,False,88312,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Robinia hispida,1510,"bristly,rose locust,rose acacia",ROHIR,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,6.0,8.0,5.0,15,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,82146,Dicot,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Rosa carolina,1512,"pasture,Carolina rose",ROCA4,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,3.0,5.0,6.0,10,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,90793,Dicot,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Medium,False,False,False,False,Medium,,,,None,False,False,False,White,True,Green,Dense,Moderate,Medium,Red,True,Multiple Stem,Moderate,5.0,False,False,Moderate,False,None,True,Erect,None,,5,True,False,True,None,Low,True,High,Low,Medium,100,Low,Low,7.0,4.0,10912,2728,60,25,12,Medium,Intermediate,-43,Early Summer,No Known Source,Low,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Moderate,High,False,Moderate,50000,True,True,False,False
Rosa palustris,1513,swamp rose,ROPA,True,True,,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,3.0,6.0,5.0,7,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,90894,Dicot,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,Low,,,,Medium,False,False,False,Red,True,Green,Moderate,Porous,Fine,Yellow,True,Rhizomatous,Moderate,8.2,False,False,Long,False,None,True,Erect,None,,8,False,True,True,Medium,Low,False,Low,Medium,Low,95,Low,Medium,7.0,4.0,3600,2700,50,35,18,None,Tolerant,-33,Spring,Routinely Available,Medium,Summer,Summer,True,True,False,True,False,False,True,False,False,False,Slow,Medium,False,Slow,,False,True,False,False
Rosa virginiana,1514,Virginia rose,ROVI2,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,6.0,6.0,7,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,90954,Dicot,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,,None,False,True,False,Purple,True,Green,Dense,Moderate,Medium,Red,True,Rhizomatous,Moderate,6.0,False,False,Moderate,False,None,True,Semi-Erect,None,Medium,6,True,False,True,Low,Low,True,Low,Medium,High,130,None,Medium,7.0,5.0,4800,700,55,35,16,None,Intermediate,-18,Late Spring,No Known Source,High,Summer,Summer,True,True,False,True,False,False,True,False,False,False,Slow,Medium,False,Slow,,True,True,False,False
Rubus allegheniensis,1515,Alleghany blackberry,RUAL,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3.0,6.0,6.0,12,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,91009,Dicot,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Low,True,False,False,False,High,Low,,,None,False,False,False,White,True,Green,Moderate,Porous,Coarse,Black,True,Thicket Forming,Rapid,6.0,False,False,Short,False,None,True,Erect,None,Low,6,False,True,True,Low,High,True,High,Medium,High,120,None,Medium,7.5,4.6,4800,1200,48,30,12,None,Tolerant,-28,Mid Spring,No Known Source,High,Summer,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Medium,False,Rapid,262000,True,True,False,False
Rubus flagellaris,1516,common dewberry,RUFL,True,True,,True,True,,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,3.0,4.0,0.5,15,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,91167,Dicot,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,Low,True,False,False,False,Low,Low,,,None,False,False,False,White,True,Green,Dense,Porous,Coarse,Black,True,Thicket Forming,Rapid,3.0,False,False,Short,False,None,True,Prostrate,None,Medium,,True,True,True,None,Low,True,Low,Low,High,180,High,High,7.0,5.0,3450,2700,40,15,6,None,Intermediate,-23,Late Spring,Routinely Available,High,Summer,Fall,False,True,False,True,False,True,True,False,True,False,Rapid,High,False,Rapid,170000,True,True,False,False
Rubus hispidus,1517,"bristly,swamp dewberry",RUHI,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,False,True,True,True,False,False,False,True,True,False,True,True,True,False,True,False,91250,Dicot,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Low,False,False,False,False,Low,,,,None,False,False,False,White,True,Gray-Green,Dense,Moderate,Medium,Black,True,Single Stem,Moderate,2.0,False,False,Moderate,False,None,True,Prostrate,None,,,True,True,True,Low,Low,True,Medium,Low,Medium,140,Low,High,7.0,4.5,3450,1746,70,30,12,None,Intolerant,-38,Spring,Routinely Available,Low,Spring,Summer,True,True,False,True,False,True,True,False,True,False,Moderate,Low,False,Moderate,,True,False,False,False
Rubus occidentalis,1518,black raspberry,RUOC,,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3.0,6.0,4.0,12,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,91407,Dicot,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Low,True,False,False,False,High,Low,,,None,False,False,False,White,True,Green,Moderate,Porous,Coarse,Purple,True,Thicket Forming,Rapid,6.0,False,False,Short,False,None,True,Erect,None,Low,5,False,True,True,Low,High,True,Medium,Medium,High,129,None,Medium,7.5,5.2,4800,1200,45,24,12,None,Intermediate,-28,Mid Spring,Routinely Available,High,Summer,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Medium,False,Rapid,335000,True,True,False,False
Rubus odoratus,1519,"purple flowered raspberry,thimbleberry",RUOD,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,3.0,6.0,6.0,12,False,True,True,False,False,False,True,False,True,True,False,True,True,False,True,True,91409,Dicot,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Low,False,False,False,False,High,Low,,,None,False,False,False,Purple,True,Green,Dense,Porous,Coarse,Red,True,Thicket Forming,Rapid,5.0,False,False,Short,False,None,True,Semi-Erect,None,High,5,True,True,True,None,Medium,True,Medium,Medium,High,90,None,Medium,6.5,4.5,1200,700,55,35,16,None,Intermediate,-38,Late Spring,No Known Source,Medium,Summer,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Low,False,Moderate,493000,True,True,False,False
Salix humilis,1528,"prairie,upland willow,small pussywillow",SAHU2,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,6.0,15.0,4.0,15,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,67871,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Medium,Low,,,None,True,True,False,Yellow,False,Dark Green,Dense,Moderate,Coarse,Brown,False,Multiple Stem,Rapid,10.0,False,False,Moderate,False,None,True,Semi-Erect,None,High,10,True,False,True,Medium,Medium,True,Low,Medium,High,80,Low,High,7.0,5.9,1700,1200,60,20,10,None,Intermediate,-43,Spring,No Known Source,Low,Summer,Summer,False,True,False,True,False,True,False,False,False,False,Slow,Low,False,Slow,,True,True,False,False
Sambucus canadensis,1533,"black,common elderberry",SANIC4,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,4.0,12.0,6.0,12,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,42834,Dicot,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,Low,True,False,False,False,Medium,Low,,,None,False,True,False,White,True,Green,Dense,Porous,Medium,Blue,True,Multiple Stem,Rapid,7.0,False,False,Moderate,False,None,True,Erect,None,High,7,False,False,True,Low,Medium,True,Medium,Medium,Medium,100,Low,Medium,8.9,5.0,1700,700,60,34,16,None,Intolerant,-28,Spring,Routinely Available,High,Spring,Summer,True,True,False,True,False,False,True,False,False,False,Moderate,High,False,None,291590,True,True,False,False
Sambucus racemosa,1534,red elderberry,SARA2,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,8.0,20.0,8.0,15,False,True,True,False,False,False,True,False,True,True,False,True,True,False,False,True,42863,Dicot,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Spiraea alba,1570,white or narrowleaf meadowsweet,SPAL2,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,2.0,6.0,3.0,4,False,True,True,False,False,False,False,True,True,True,False,True,True,False,True,True,91786,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,Low,,,None,False,False,False,White,True,Green,Dense,Moderate,Fine,Brown,False,Multiple Stem,Moderate,3.0,False,False,Moderate,False,None,True,Semi-Erect,None,Medium,3,True,True,True,Medium,Low,True,Low,Low,High,110,Medium,Medium,6.8,4.3,2700,1700,55,18,12,None,Intermediate,-33,Late Spring,Routinely Available,Medium,Summer,Summer,False,True,False,True,False,False,True,False,False,False,Slow,Low,False,None,1000000,True,True,False,False
Symphoricarpos orbiculatus,1574,coralberry,SYOR,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,2.0,5.0,4.0,8,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,42905,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,Low,,,None,False,True,True,White,False,Green,Dense,Moderate,Coarse,Red,True,Rhizomatous,Moderate,2.0,False,False,Moderate,False,None,True,Erect,None,High,2,False,True,True,None,Low,True,Medium,Medium,High,130,None,High,7.5,5.5,4800,1700,60,15,18,Low,Intermediate,-23,Mid Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Slow,Medium,False,Moderate,139500,True,True,False,False
Vaccinium angustifolium,1603,lowbush blueberry,VAAN,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.5,2.0,1.0,2,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True,65417,Dicot,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Medium,True,False,False,False,High,Low,,,None,False,False,False,White,False,Green,Porous,Porous,Medium,Blue,True,Multiple Stem,Moderate,2.0,False,False,Moderate,False,None,True,Erect,None,Medium,1,True,True,True,Low,Low,True,Medium,Medium,Medium,100,None,Medium,7.5,4.7,1700,1200,50,32,16,None,Intolerant,-33,Early Summer,Routinely Available,,Summer,Summer,False,True,False,True,False,True,True,False,False,False,Slow,Low,False,Moderate,1972000,True,True,False,False
Vaccinium corymbosum,1604,highbush blueberry,VACO,True,True,,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,3.0,15.0,8.0,12,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,65446,Dicot,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,Low,True,False,False,False,Medium,Low,,,None,False,True,False,White,False,Green,Dense,Moderate,Medium,Blue,True,Multiple Stem,Moderate,12.0,False,False,Moderate,False,None,True,Erect,None,Medium,12,True,True,True,Medium,Low,False,Low,Medium,High,100,Low,Medium,7.5,4.7,1700,1200,50,32,16,High,Tolerant,-33,Early Summer,Routinely Available,Medium,Summer,Summer,False,True,False,True,False,True,True,False,False,False,Slow,Low,False,None,975000,True,True,False,False
Viburnum acerifolium,1609,"mapleleaf viburnum,dockmackie",VIAC,True,True,True,,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,4.0,12.0,3.0,4,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,42933,Dicot,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Low,False,False,False,False,Medium,Low,,,None,True,True,False,White,True,Green,Moderate,Porous,Medium,Red,True,Multiple Stem,Slow,6.0,False,False,Long,False,None,True,Erect,None,Medium,6,True,False,True,None,High,True,High,Low,Low,115,Low,Medium,7.5,4.8,4800,2700,50,32,14,None,Tolerant,-28,Indeterminate,No Known Source,Medium,Summer,Fall,False,True,False,True,False,False,True,False,False,False,Slow,Low,False,None,13100,True,True,False,False
Viburnum dentatum,1610,southern arrowwood ,VIDE,False,True,True,,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,6.0,10.0,4.0,8,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,42949,Dicot,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Viburnum lantanoides,1611,"hobblebush,wayfaringtree viburnum ",VILA11,True,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,6.0,12.0,4.0,12,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,42980,Dicot,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,High,Low,,,None,True,True,False,White,True,Green,Moderate,Porous,Coarse,Black,True,Multiple Stem,Slow,10.0,False,False,Long,False,None,True,Erect,None,High,10,False,True,True,High,High,True,Medium,Low,High,110,Low,Medium,7.0,4.9,2700,1700,50,30,14,None,Tolerant,-38,Late Spring,Routinely Available,Medium,Summer,Fall,True,True,False,True,False,True,True,False,False,False,Slow,Low,False,Moderate,11500,True,True,False,False
Viburnum nudum,1612,"possum haw,southern wild raisin,witherod",VINU,True,True,True,False,True,True,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,6.0,18.0,4.0,12,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,42987,Dicot,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
